MeasID,YEAR,CO,JUR,CNTYNAME,DATE,PLACE,CSD,MEASTYPE,LTR,Ballotquestion,RECTYPE,RECTYPENAME,RECTOPIC,RECTOPNAME,YES,NO,TOTAL,PERCENT,REQ,OUTCOME,PASSFAIL,Multi_CO,Multi_MeasID,YES_sum,NO_sum,Total_sum,Percent_sum,Outcome_sum,passfail_sum,typerec,topicrec
201700011,2017,29,1,NEVADA,3/7/2017,Mystic Mine Road CSD,1,M,D,"Shall Resolution 2016-03 be approved establishing a special tax on each parcel of land within the District in the amount of $200.00 per year, beginning with the 2017-18 fiscal year, and $250.00 per year beginning with the 2021-22 fiscal year, and each fiscal year thereafter, for the purpose of funding road maintenance programs within the District, and further establish a spending limit in accordance with the provisions of Ariticle XIIIB of the California Constitution?",3,Property Tax,62,Transport: Roads,71,13,84,84.50%,T,1,PassT,0,201700011,71,13,84,0.845238095,1,PassT,1,60
201700012,2017,36,1,SAN BERNARDINO,3/7/2017,Wrightwood CSD-Proposed,1,M,C,"Shall the order adopted on July 20, 2016, by the Local Agency Formation Commission for San Bernardino County ordering the reorganization to include formation of the Wrightwood Community Services District and Dissolution of County Service Area 56, known as LAFCO 3202, be approved subject to the terms and conditions as more particularly described in the order?",70,Ordinance,44,Governance: Incorporation/Formation/Annexation,573,337,910,63.00%,M,1,Pass,0,201700012,573,337,910,0.62967033,1,Pass,70,40
201700013,2017,49,1,SONOMA,3/7/2017,Sonoma,0,M,A,"Shall an ordinance be adopted imposing a cannabis business tax in unincorporated Sonoma County on cultivation up to $38 per square foot (annually adjusted by CPI increases) or 10% on gross receipts, and on other cannabis businesses up to 10% on gross receipts, to fund essential county services such as addressing industry impacts, public safety, fire, health, housing, roads, and environmental protection, with funds staying local and subject to audits, generating undetermined revenue until repealed?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,64177,26219,90396,71.00%,M,1,Pass,0,201700013,64177,26219,90396,0.70995398,1,Pass,1,110
201700014,2017,50,1,STANISLAUS,11/7/2017,Stanislaus,0,M,S,"To maintain local library funding the State cannot take, keep branches open, maintain hours, provide programs for children, teens, adults and seniors, children’s story times, literacy, homework and job search resources, maintain books, CDs, DVDs and reference materials -- shall Stanislaus County extend the existing one-eighth percent library sales tax for 12 years, commencing July 1, 2018, generating approximately $10 million annually, with an independent citizens oversight committee ensuring funds are spent only on Stanislaus County Libraries?",4,Sales Tax,71,Facilities: Libraries,41986,9025,51011,82.30%,T,1,PassT,0,201700014,41986,9025,51011,0.823077375,1,PassT,1,70
201700015,2017,9,2,EL DORADO,11/7/2017,South Lake Tahoe,0,M,C,"To fix potholes and pave/repair/maintain local roads; improve safety for drivers/pedestrians/bicyclists; provide safe routes to school; and protect the clarity of Lake Tahoe by reducing sediment from roadways, shall an ordinance establishing a one-half percent sales tax be adopted for fifteen years, providing approximately $2.5 million annually in locally controlled funding for the Roads Management Authority of the City of South Lake Tahoe, requiring an independent citizens’ oversight committee and all funds for road improvement only?",4,Sales Tax,62,Transport: Roads,1497,1312,2809,53.30%,T,2,FailT,0,201700015,1497,1312,2809,0.532929868,2,FailT,1,60
201700016,2017,10,2,FRESNO,8/29/2017,Mendota,0,M,A,"To support local law enforcement activities, shall an ordinance be adopted imposing an annual special parcel tax amounting to: (i) $400/unit upon developed multi-family residences or apartments; (ii) $500/unit upon all other developed parcels; (iii) $100/ unit upon developed parcels for senior citizens; (iv) $50/unit upon undeveloped parcels for senior citizens; and (v) $100/ parcel for all other undeveloped parcels?",3,Property Tax,32,Safety: Police,83,176,259,32.00%,T,2,FailT,0,201700016,83,176,259,0.32046332,2,FailT,1,30
201700017,2017,10,2,FRESNO,8/29/2017,Mendota,0,M,B,"To provide additional funding for local law enforcement services, shall the ordinance increasing the City’s Sales and Use Tax from .980% to 1.980% which will raise approximately $500,000 annually be adopted?",4,Sales Tax,32,Safety: Police,108,151,259,41.70%,T,2,FailT,0,201700017,108,151,259,0.416988417,2,FailT,1,30
201700018,2017,10,2,FRESNO,11/7/2017,Coalinga,0,M,C,"To help prevent the loss of vital public safety services, and to protect other general services, shall the City of Coalinga enact a general-purpose, one-percent sales tax, expected to generate $850,000 annually, with annual independent audits?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,545,582,1127,48.40%,M,2,Fail,0,201700018,545,582,1127,0.483584738,2,Fail,1,110
201700019,2017,12,2,HUMBOLDT,11/7/2017,Rio Dell,0,M,X,"Shall the ordinance creating a new business tax of up to give dollars per square foot of space utilized for certain commercial cannabis cultivation activity and, for other commercial cannabis activity, a tax of up to ten percent of gross receipts be adopted, with all proceeds placed in the City's General Fund to be used for any governmental purpose? The tax imposed by this Ordinance is expected to generate $980,000 in annual revenue and will continue in effect until later repealed",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,353,83,436,81.00%,T,1,PassT,0,201700019,353,83,436,0.809633028,1,PassT,1,110
201700020,2017,13,2,IMPERIAL,11/7/2017,Brawley,0,M,W,"Shall the City of Brawley ordinance extending the Utility Users Tax for five years at a rate not to exceed 4%, upon the use of telephone, electricity, gas, water, sewer, trash and cable television utilities, to maintain city services, including, but not limited to, police, fire, administration, library and parks and recreation, and subject to future council action to reduce said percentage, and which is projected to raise $1.9 million per year, be adopted?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,1649,1010,2659,62.00%,M,1,Pass,0,201700020,1649,1010,2659,0.620157954,1,Pass,1,110
201700021,2017,13,2,IMPERIAL,11/7/2017,Brawley,0,M,X,Shall the office of City Treasurer which is currently an elected position be consolidated with the position of City Finance Director and be converted to a position to be filled by City Council appointment commencing upon the expiration of the term of the current City Treasurer?,70,Ordinance,43,Governance: Organization,1312,1247,2559,51.30%,M,1,Pass,0,201700021,1312,1247,2559,0.512700274,1,Pass,70,40
201700022,2017,15,2,KERN,6/6/2017,California City,0,M,A,"To fund general municipal expenses such as police, fire, urgent care, roads and recreation, shall the City tax cannabis (marijuana) businesses at annual rates not to exceed $7.00 per canopy square foot for cultivation (adjustable for inflation) and not to exceed 6% of gross receipts for all other cannabis businesses; which is expected to generate an estimated $3.4 million annually and will be levied until repealed by the voters or the City Council?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,1183,393,1576,75.10%,M,1,Pass,0,201700022,1183,393,1576,0.750634518,1,Pass,1,110
201700023,2017,15,2,KERN,6/6/2017,California City,0,M,B,"In order to fund police, fire, and code enforcement services, shall the existing special parcel tax be extended for an additional three years (through tax year 2020-2021) at a rate not to exceed the existing rate of $150 per lot or parcel, generating approximately $7.5 Million in annual funding for public safety?",3,Property Tax,34,Safety: Multiple Emergency Services,727,848,1575,46.20%,T,2,FailT,0,201700023,727,848,1575,0.461587302,2,FailT,1,30
201700024,2017,16,2,KINGS,6/6/2017,Corcoran,0,M,A,"To preserve the safety and character of Corcoran, and maintain essential general City services for Corcoran residents including police, 911 emergency response, fire protection, disaster preparedness, recreational programs and facilities, park maintenance and improvements, street maintenance and repairs and other essential services, shall Ordinance No. 631, imposing a 1 cent general sales and use tax, be adopted? Estimated revenues between $1,000,000 and $1,200,000 annually, indefinitely.",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,466,332,798,58.40%,M,1,Pass,0,201700024,466,332,798,0.5839599,1,Pass,1,110
201700025,2017,19,2,LOS ANGELES,3/7/2017,Bell,0,M,T,"Shall the ordinance, to permit the Council to levy generally on visitors to the City a maximum 12% tax on hotel/motel charges, estimated to annually raise $285,000 for general City purposes, including for law enforcement and street repairs, and without a sunset clause, be adopted?",9,Transient Occupancy Tax,112,Revenues: Tax Creation/Incr./Contin.,1136,563,1699,66.90%,M,1,Pass,0,201700025,1136,563,1699,0.668628605,1,Pass,1,110
201700026,2017,19,2,LOS ANGELES,3/7/2017,Bellflower,0,M,B,Shall the proposition imposing a tax on cannabis related businesses operating within the City of Bellflower be adopted?,2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,3159,1119,4278,73.80%,M,1,Pass,0,201700026,3159,1119,4278,0.738429173,1,Pass,1,110
201700027,2017,19,2,LOS ANGELES,3/7/2017,Covina,0,M,CC,"To continue to provide about $5 million annually to preserve essential City services like Police, Fire, Parks, Library, Recreation and Public Works and other local programs and general services, shall an ordinance be adopted to extend the City of Covina's current 6% utility users tax on telephone, gas, electricity and water services to March of 2029, without raising the rate of the tax or taxing any additional utility services?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,2740,1098,3838,71.40%,M,1,Pass,0,201700027,2740,1098,3838,0.713913497,1,Pass,1,110
201700028,2017,19,2,LOS ANGELES,3/7/2017,Cudahy,0,M,PS,"Shall the 2017 Temporary Public Safety Funding Ordinance imposing an excise tax of $139 per parcel per year on single-family and unimproved property; $181 per dwelling per year on multifamily property; and between $1,550 to $49,600 per parcel per year on industrial, commercial, mobilehome park and other nonresidential properties be adopted for 5 years to raise approximately $2,000,000 per year to pay for approximately half of the City's annual cost of providing police protection services?",3,Property Tax,32,Safety: Police,333,925,1258,26.50%,T,2,FailT,0,201700028,333,925,1258,0.264705882,2,FailT,1,30
201700029,2017,19,2,LOS ANGELES,3/7/2017,Los Angeles,0,M,M,"Shall an ordinance providing for enforcement, taxation and regulation of cannabis and/or cannabis products (cannabis) by: 1) providing that the City Council retains the authority to amend existing and adopt new regulations regarding cannabis activity in the City after conducting public hearings regarding various aspects of the commercialization of cannabis and medical cannabis, and giving priority in the processing of applications to existing medical marijuana dispensaries operating in compliance with current City law; 2) authorizing criminal penalties, nuisance abatement, increased civil fines and disconnection of water and power utilities for unauthorized cannabis activities; and 3) establishing new business taxes, effective January 1, 2018, including taxes of $100 per each $1,000 of gross receipts from cannabis sales and $50 per each $1,000 of gross receipts from medical cannabis sales, $10 per each $1,000 of gross receipts from cannabis transportation, testing or research, and $20 per each $1,000 of gross receipts from cannabis manufacturing, cultivation or other commercialization of cannabis; be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,319017,77523,396540,80.50%,M,1,Pass,0,201700029,319017,77523,396540,0.804501437,1,Pass,1,110
201700030,2017,19,2,LOS ANGELES,3/7/2017,Los Angeles,0,M,N,"Shall an ordinance establishing a City permitting program for cannabis activity, prioritizing existing medical marijuana businesses compliant with current City law (MMBs) and maintaining 135 dispensaries in the City unless increased by the City Council, including by: 1) authorizing the City to issue permits for cannabis activity including cultivation, manufacture and sale of medical cannabis; 2) providing existing compliant MMBs a limited time to register for initial permits for specified cannabis activity and other priority in the permitting process; 3) allowing permitted cannabis activity in certain non-residential zones; 4) providing operational standards and minimum-distance requirements from schools and other sites; 5) authorizing fines and other penalties for non-permitted cannabis activity but limit enforcement procedures for violations of the ordinance by permit holders; and 6) allowing permittees to operate as adult use marijuana businesses and impose a tax of $80 per each $1,000 of gross receipts from adult use marijuana sales if state law changes to allow non-medical adult use of marijuana; be adopted?",2,Business Tax,22,Land Use: Zoning,134787,250896,385683,34.90%,M,2,Fail,0,201700030,134787,250896,385683,0.349476124,2,Fail,1,20
201700031,2017,19,2,LOS ANGELES,3/7/2017,Los Angeles,0,M,P,"Shall the City Charter be amended to increase the maximum term for franchises, concessions, permits, licenses and leases that may be entered into by the Harbor Department from the current maximum of 50 years to a new maximum of 66 years, to be consistent with recent changes to state law?",20,Charter Amendment,20,Land Use,251398,116059,367457,68.40%,M,1,Pass,0,201700031,251398,116059,367457,0.684156241,1,Pass,20,20
201700032,2017,19,2,LOS ANGELES,3/7/2017,Los Angeles,0,M,S,"Shall an ordinance amending City laws related to the General Plan, including to: 1) impose a two-year moratorium on projects seeking General Plan amendments or zone or height-district changes resulting in more intense land use, an increase in density or height, or a loss of zoned open space, agricultural or industrial areas, with exceptions including for affordable housing projects and projects for which vested rights have accrued; 2) prohibit geographic amendments to the General Plan unless the affected area has significant social, economic or physical identity (defined as encompassing an entire community or district plan area, specific plan area, neighborhood council area or at least 15 acres); 3) require systematic, public review of the General Plan every five years; 4) prohibit project applicants from completing environmental impact reports for the City; 5) require the City make findings of General Plan consistency for planning amendments, project approvals and permit decisions; and 6) prohibit certain parking variances; be adopted?",70,Ordinance,22,Land Use: Zoning,121101,288012,409113,29.60%,M,2,Fail,0,201700032,121101,288012,409113,0.296008682,2,Fail,70,20
201700033,2017,19,2,LOS ANGELES,3/7/2017,Monterey Park,0,M,LL,Shall the proposition renewing a special parcel tax for library services at the Monterey Park Bruggemeyer Library be adopted?,3,Property Tax,71,Facilities: Libraries,2985,1954,4939,60.40%,T,2,FailT,0,201700033,2985,1954,4939,0.604373355,2,FailT,1,70
201700034,2017,19,2,LOS ANGELES,3/7/2017,Palos Verdes Estates,0,M,D,"Shall an ordinance be adopted that continues a levy of the existing special tax for a period of twelve (12) years on each eligible parcel in the City at the initial base rate of $342.34 plus $0.196073 per square foot of building improvement effective July 1, 2017, and maintains the existing 6.2% limit on annual adjustments, initially generating approximately $4.7 million annually to finance fire suppression and paramedic services?",3,Property Tax,34,Safety: Multiple Emergency Services,2198,1470,3668,59.90%,T,2,FailT,0,201700034,2198,1470,3668,0.599236641,2,FailT,1,30
201700035,2017,19,2,LOS ANGELES,3/7/2017,Redondo Beach,0,M,C,"Shall Redondo Beach approve amendments to its Coastal Land Use Plan Implementing Ordinance (partially adopted in 2010 in Measure G) to provide additional analytical procedures and additional limits reducing the amount and type of development in the Coastal Commercial Zones and the Parks, Recreation, and Open Space Zone (Seaside Lagoon), located in the Redondo Beach King Harbor-Pier area?",70,Ordinance,23,Land Use: Open Space,9229,6925,16154,57.10%,M,1,Pass,0,201700035,9229,6925,16154,0.571313607,1,Pass,70,20
201700036,2017,19,2,LOS ANGELES,3/7/2017,San Fernando,0,M,SF,Shall the office of City Treasurer be appointive?,70,Ordinance,43,Governance: Organization,953,643,1596,59.70%,M,1,Pass,0,201700036,953,643,1596,0.597117794,1,Pass,70,40
201700037,2017,19,2,LOS ANGELES,3/7/2017,Signal Hill,0,I,F,"(INITIATIVE) Shall the proposed citizen's intitative measure to tax medical marijuana facilities in the City of Signal Hill through a 10% tax on the monetary transactions as well as doubling the license taxes, with no sunset clause, and currently estimated to raise $0.00 annually because medical marijuana facilities are not presently allowed in the city of Signal Hill be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,534,605,1139,46.90%,M,2,Fail,0,201700037,534,605,1139,0.468832309,2,Fail,1,110
201700039,2017,19,2,LOS ANGELES,4/4/2017,Inglewood,0,M,DE,Shall the Inglewood City Charter be amended to allow the Board of Education for Inglewood City Schools to change the method of election of the Board of Education?,20,Charter Amendment,43,Governance: Organization,1654,1247,2901,57.00%,M,1,Pass,0,201700039,1654,1247,2901,0.570148225,1,Pass,20,40
201700040,2017,19,2,LOS ANGELES,4/11/2017,Vernon,0,M,Q,"Shall an ordinance be adopted to authorize the levy of a 6% utility users' tax on electricity, gas, telecommunications, video and water utility services, with  exemptions for residential services provided to persons with disabilities and low income households?",5,Utility Tax,112,Revenues: Tax Creation/Incr./Contin.,14,23,37,37.80%,M,2,Fail,0,201700040,14,23,37,0.378378378,2,Fail,1,110
201700041,2017,19,2,LOS ANGELES,5/16/2017,Los Angeles,0,M,C,Shall the Charter be amended to allow the City Council to provide that a police officer who is entitled to a Police Department Board of Rights hearing for a disciplinary matter may select a Board of Rights composed of all civilian members?,20,Charter Amendment,42,Governance: Personnel/Labor Relations,113198,93296,206494,54.80%,M,1,Pass,0,201700041,113198,93296,206494,0.548190262,1,Pass,20,40
201700042,2017,19,2,LOS ANGELES,11/7/2017,Carson,0,M,C,"To maintain and improve Carson services, such as 911 emergency, Sheriff protection, senior/youth/anti-gang programs; repair streets; improve air/environmental quality, reduce hazardous waste; shall an ordinance be adopted imposing tax of 1/4th of 1% of gross receipts of operators of facilities blending, mixing, processing, or refining petroleum or petroleum products and/or storing petroleum products, to provide approximately $24,000,000 anually until ended by voters, requiring regular compliance audits, with funds used in Carson?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,5894,2223,8117,72.60%,M,1,Pass,0,201700042,5894,2223,8117,0.726130344,1,Pass,1,110
201700043,2017,19,2,LOS ANGELES,11/7/2017,Compton,0,M,A,"Shall the Compton City Charter be amended to set the salary of Council members to $43,000, and to set the Mayor's annual salary to $54,000?",20,Charter Amendment,42,Governance: Personnel/Labor Relations,887,2418,3305,26.80%,M,2,Fail,0,201700043,887,2418,3305,0.268381241,2,Fail,20,40
201700044,2017,19,2,LOS ANGELES,11/7/2017,El Monte,0,M,EM,"To preserve and stabilize funding for various essential City services such as fire and emergency response services; police staffing; street maintenance; senior and youth programs; park maintenance; graffiti removal; State-mandated storm drain upgrades; and to restore the City's ""rainy day"" general fund reserves, shall the City's existing half percent (1/2%) transactions and use tax be extended for ten years, subject always to the voters' power of repeal?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,2187,960,3147,69.50%,M,1,Pass,0,201700044,2187,960,3147,0.694947569,1,Pass,1,110
201700045,2017,19,2,LOS ANGELES,11/7/2017,Hawthorne,0,M,HH,"To fund general city services, such as police, fire, senior services, streets, parks, paramedics, 9-1-1, anti-gang units, and other general city services, shall the City of Hawthorne Transactions and Use Tax Ordinance of 2017 be approved, imposing a 0.75% transactions and use (sales) tax, with annual audit and appointment of a Citizen's Oversight Committee, to be collected until repealed by the voters or the City Council and estimated to raise approximately $8.5 million per year?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,2745,1239,3984,68.90%,M,1,Pass,0,201700045,2745,1239,3984,0.689006024,1,Pass,1,110
201700046,2017,19,2,LOS ANGELES,11/7/2017,La Habra Heights,0,M,G,Shall an ordinance be adopted to renew the City's authority to spend existing revenues from the special fire tax approved by two-thirds of the City's voters in 1997 to provide essential fire and life safety services by renewing the voter-approved amendment to the City's appropriations limits?,70,Ordinance,33,Safety: Fire,844,169,1013,83.30%,M,1,Pass,0,201700046,844,169,1013,0.833168806,1,Pass,70,30
201700047,2017,19,2,LOS ANGELES,11/7/2017,Montebello,0,M,S,"To preserve public safety, community programs and prevent significant cuts to essential services, by funding general City services including hiring additional police and fire personnel, maintaining anti-gang and graffiti efforts, youth and after-school parks and recreation services, expanding and improving City parks, fixing City streets and public infrastructure, shall the City sales tax be increased by one cent with annual financial audits, expenditure reports, and financial oversight?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,1650,2720,4370,37.80%,M,2,Fail,0,201700047,1650,2720,4370,0.377574371,2,Fail,1,110
201700048,2017,19,2,LOS ANGELES,11/7/2017,Montebello,0,M,T,"Shall the terms served by elected officials of the City of Montebello, including members of the City Council, the City Treasurer, and the City Clerk, be limited to not more than three (3) consecutive four (4) year terms, after which an elected official shall not be qualified to serve in that elected office for a period of four (4) years?",70,Ordinance,45,Governance: Political Reform/Term Limits,3652,652,4304,84.90%,M,1,Pass,0,201700048,3652,652,4304,0.848513011,1,Pass,70,40
201700049,2017,19,2,LOS ANGELES,11/7/2017,Rolling Hills,0,M,C,Shall an ordinance be adopted repealing the March 2013 amendments made to the City's View Preservation Ordinance by Measure B?,70,Ordinance,20,Land Use,441,302,743,59.40%,M,1,Pass,0,201700049,441,302,743,0.593539704,1,Pass,70,20
201700050,2017,19,2,LOS ANGELES,11/7/2017,Whittier,0,M,L,"To expand 58-year-old Whittier Central Library to meet 21st century needs, including: providing a children's area for story times, parent/child reading, and children's book collections/technology; improving senior/disabled access; expanding/updating computer/technology center; space for up-to-date book/resource collections; relocating the Veterans Resource Center for better service; and related improvements; shall the City of Whittier issue $22,000,000 in bonds at legal rates, requiring independent citizen oversight, and all funds for Whittier Central Library only?",11,GO Bond,71,Facilities: Libraries,4278,2160,6438,66.40%,T,2,FailT,0,201700050,4278,2160,6438,0.664492078,2,FailT,10,70
201700051,2017,21,2,MARIN,11/7/2017,Larkspur,0,M,B,"To maintain City services, including repairing aging, deteriorating neighborhood streets, roads, potholes, major boulevards; clearing brush to prevent fires/improve emergency vehicle access; upgrading storm drains; fire protection/911 emergency/medical response; and other services, shall the City of Larkspur extend the voter-approved sales tax at the 3/4¢ rate until ended by voters, providing $1,650,000 annually with authority to incur debt to accelerate infrastructure projects, subject to citizens’ oversight/audits?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,1945,976,2921,66.60%,M,1,Pass,0,201700051,1945,976,2921,0.665867853,1,Pass,1,110
201700052,2017,21,2,MARIN,11/7/2017,Novato,0,M,D,"Shall the City of Novato adopt an ordinance amending the General Plan to continue the Urban Growth Boundary to December 31, 2042 and adopting policies and programs relating thereto be adopted?",70,Ordinance,21,Land Use: Growth Cap/Boundary,8933,3150,12083,73.90%,M,1,Pass,0,201700052,8933,3150,12083,0.739303153,1,Pass,70,20
201700053,2017,27,2,MONTEREY,1/24/2017,Greenfield,0,R,1,"Shall JOHN HUERTA, JR. be recalled(removed) from the office of City Mayor?",50,Recall,46,Governance: Recall,866,554,1420,61.00%,M,1,Pass,0,201700053,866,554,1420,0.609859155,1,Pass,50,40
201700054,2017,27,2,MONTEREY,5/2/2017,Greenfield,0,M,C,"To ensure fire and emergency medical services for our community, including the cost of qualified staff, capital replacement and reserves, shall a new parcel tax providing up to $770,000 initially, be adopted without expiration at up to $200 per single family unit, $150 per multi-unit, and $85 - $200 plus $.07 per building square foot for non- residential parcels, including an annual increase equal to the inflation index as established each year by the City Council?",2,Business Tax,34,Safety: Multiple Emergency Services,648,301,949,68.30%,T,1,PassT,0,201700054,648,301,949,0.682824025,1,PassT,1,30
201700055,2017,27,2,MONTEREY,6/6/2017,Seaside,0,M,G,"To generate an estimated $300,000 annually until ended by voters to maintain essential City services such as 9-1-1 emergency response, anti-drug/anti-gang programs; repairing streets, potholes, storm drains; earthquake, flood preparedness; improving parks, youth/senior programs; and other general services; with required independent audits and all funds staying in Seaside, shall the ordinance levying an ongoing tax of up to 10% of gross receipts of marijuana businesses be adopted?",2,Business Tax,112,Revenues: Tax Creation/Incr./Contin.,1810,409,2219,81.60%,M,1,Pass,0,201700055,1810,409,2219,0.81568274,1,Pass,1,110
201700056,2017,27,2,MONTEREY,6/6/2017,Seaside,0,M,L,"To generate an estimated $1,900,000 annually until ended by voters to maintain essential City services such as police, fire, 9-1-1 emergency response; hiring police officers/firefighters; youth violence prevention programs; improving street maintenance, water cleanliness, earthquake, flood preparedness, parks, beaches, youth/senior programs, and other general services; with required independent audits and all funds staying in Seaside; shall the ordinance increasing the City's sales tax by 1/2 cent be adopted?",4,Sales Tax,112,Revenues: Tax Creation/Incr./Contin.,1403,822,2225,63.10%,M,1,Pass,0,201700056,1403,822,2225,0.630561798,1,Pass,1,110
