STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%
AR_HOT SPRING,8172,0.6842,3149,0.2636
AR_HOWARD,3157,0.6754000000000001,1351,0.289
AR_INDEPENDENCE,9936,0.7298,2881,0.2116
AR_IZARD,4042,0.7419,1113,0.2043
AR_JACKSON,3267,0.6335999999999999,1583,0.307
AR_JEFFERSON,9250,0.35719999999999996,15772,0.6091
AR_JOHNSON,6091,0.6685,2427,0.2664
AR_LAFAYETTE,1758,0.6147,1032,0.3608
AR_LAWRENCE,4064,0.7149,1263,0.22219999999999998
AR_LEE,1229,0.4061,1735,0.5734
AR_LINCOLN,2455,0.6417,1252,0.3272
AR_LITTLE RIVER,3605,0.6897,1397,0.2673
AR_LOGAN,5746,0.7254,1715,0.2165
AR_LONOKE,19958,0.7365,5664,0.209
AR_MADISON,4928,0.7204,1588,0.2321
AR_MARION,5336,0.7508,1434,0.2018
AR_MILLER,11294,0.7019,4273,0.2656
AR_MISSISSIPPI,7061,0.5347999999999999,5670,0.4294
AR_MONROE,1489,0.5163,1312,0.4549
AR_MONTGOMERY,2643,0.7426,748,0.2102
AR_NEVADA,2000,0.6161,1157,0.3564
AR_NEWTON,2875,0.7661,699,0.1863
AR_OUACHITA,5351,0.5386,4321,0.4349
AR_PERRY,3008,0.6986,1049,0.24359999999999998
AR_PHILLIPS,2446,0.3518,4310,0.6199
AR_PIKE,3150,0.7913,685,0.1721
AR_POINSETT,5502,0.7125,1880,0.24350000000000002
AR_POLK,6618,0.804,1212,0.1472
AR_POPE,16256,0.7203,5000,0.22149999999999997
AR_PRAIRIE,2505,0.7273999999999999,814,0.2364
AR_PULASKI,61257,0.3834,89574,0.5606
AR_RANDOLPH,4509,0.7069,1425,0.2234
AR_SALINE,35863,0.6883,13256,0.2544
AR_SCOTT,2731,0.7781,602,0.17149999999999999
AR_SEARCY,2955,0.7927,601,0.1612
AR_SEBASTIAN,29127,0.6525,12300,0.2756
AR_SEVIER,3282,0.7193999999999999,1075,0.23559999999999998
AR_SHARP,5407,0.7459,1472,0.20309999999999997
AR_ST. FRANCIS,3195,0.43,4031,0.5425
AR_STONE,4113,0.7321,1203,0.2141
AR_UNION,10456,0.6189,5855,0.34659999999999996
AR_VAN BUREN,5382,0.7333,1549,0.21109999999999998
AR_WASHINGTON,41476,0.5067,33366,0.40759999999999996
AR_WHITE,21077,0.7528,5170,0.18460000000000001
AR_WOODRUFF,1347,0.5239,1118,0.4349
AR_YELL,4608,0.7156,1480,0.2298
AZ_APACHE,8240,0.305,17083,0.6324000000000001
AZ_COCHISE,28092,0.5740999999999999,17450,0.3566
AZ_COCONINO,21108,0.36450000000000005,32404,0.5644
AZ_GILA,14182,0.6388,7003,0.3155
AZ_GRAHAM,8025,0.6722,3301,0.27649999999999997
AZ_GREENLEE,1892,0.5834,1092,0.3367
AZ_LA PAZ,4003,0.6829000000000001,1575,0.2687
AZ_MARICOPA,747361,0.4863,702907,0.45740000000000003
AZ_MOHAVE,58282,0.7367,17455,0.2206
AZ_NAVAJO,20577,0.5256000000000001,16459,0.4204
AZ_PIMA,167428,0.4045,224661,0.5428000000000001
AZ_PINAL,72819,0.5725,47892,0.3765
AZ_SANTA CRUZ,3897,0.2445,11690,0.7158
AZ_YAVAPAI,71330,0.634,35590,0.31629999999999997
AZ_YUMA,25165,0.48119999999999996,24605,0.4705
CA_ALAMEDA,95922,0.1466,514842,0.7868999999999999
CA_ALPINE,217,0.3605,334,0.5548
CA_AMADOR,10485,0.5912,6004,0.3386
CA_BUTTE,45144,0.47240000000000004,41567,0.435
CA_CALAVERAS,13511,0.584,7944,0.34340000000000004
CA_COLUSA,3551,0.5354,2661,0.4012
CA_CONTRA COSTA,115956,0.2487,319287,0.6849
CA_DEL NORTE,5134,0.5371,3485,0.36460000000000004
CA_EL DORADO,49247,0.5262,36404,0.389
CA_FRESNO,124049,0.43939999999999996,141341,0.5006
CA_GLENN,5788,0.6112,3065,0.3237
CA_HUMBOLDT,18373,0.31010000000000004,33200,0.5604
CA_IMPERIAL,12704,0.2642,32667,0.6793
CA_INYO,4248,0.5254,3155,0.39020000000000005
CA_KERN,129584,0.5307,98689,0.4042
CA_KINGS,18093,0.5335,13617,0.40149999999999997
CA_LAKE,10599,0.43270000000000003,11496,0.4693
CA_LASSEN,7574,0.7197,2224,0.2113
CA_LOS ANGELES,769743,0.2241,2464364,0.7176
CA_MADERA,23357,0.5418,17029,0.395
CA_MARIN,21771,0.1563,108707,0.7805
CA_MARIPOSA,5185,0.5841,3122,0.3517
CA_MENDOCINO,10888,0.2905,22079,0.5891
CA_MERCED,28725,0.4058,37317,0.5272
CA_MODOC,2696,0.7117,877,0.23149999999999998
CA_MONO,2111,0.40009999999999996,2773,0.5256000000000001
CA_MONTEREY,34895,0.2616,89088,0.6678000000000001
CA_NAPA,17411,0.2837,39199,0.6386999999999999
CA_NEVADA,23365,0.4253,26053,0.4743
CA_ORANGE,507148,0.4235,609961,0.5094
CA_PLACER,95138,0.5203,73509,0.402
CA_PLUMAS,5420,0.5600999999999999,3459,0.3575
CA_RIVERSIDE,333243,0.4435,373695,0.49729999999999996
CA_SACRAMENTO,189789,0.3393,326023,0.5829
CA_SAN BENITO,7841,0.3576,12521,0.5710999999999999
CA_SAN BERNARDINO,271240,0.41479999999999995,340833,0.5212
CA_SAN DIEGO,477766,0.3657,735476,0.563
CA_SAN FRANCISCO,37688,0.0929,345084,0.8504
CA_SAN JOAQUIN,88936,0.3967,121124,0.5403
CA_SAN LUIS OBISPO,56164,0.41600000000000004,67107,0.4971
CA_SAN MATEO,57929,0.1843,237882,0.7567
CA_SANTA BARBARA,56365,0.3188,107142,0.6061
CA_SANTA CLARA,144826,0.20579999999999998,511684,0.7271
CA_SANTA CRUZ,22438,0.17420000000000002,95249,0.7394
CA_SHASTA,51778,0.6468,22301,0.2786
CA_SIERRA,1048,0.5727,601,0.3284
CA_SISKIYOU,11341,0.5534,7234,0.353
CA_SOLANO,51920,0.3126,102360,0.6162
CA_SONOMA,51408,0.2223,160435,0.6938
CA_STANISLAUS,78494,0.456,81647,0.4743
CA_SUTTER,18176,0.5422,13076,0.3901
CA_TEHAMA,15494,0.6481,6809,0.2848
CA_TRINITY,2812,0.49450000000000005,2214,0.38939999999999997
CA_TULARE,58299,0.519,47585,0.4236
CA_TUOLUMNE,14551,0.57,9123,0.3574
CA_VENTURA,132323,0.3762,194402,0.5527000000000001
CA_YOLO,20739,0.2526,54752,0.667
CA_YUBA,13170,0.5727,7910,0.3439
CA_TOTAL,4483810,0.31620000000000004,8753788,0.6173
CO_ADAMS,80082,0.41350000000000003,96558,0.4986
CO_ALAMOSA,3046,0.439,3189,0.4596
CO_ARAPAHOE,117053,0.38630000000000003,159885,0.5276
CO_ARCHULETA,4264,0.581,2500,0.3406
CO_BACA,1753,0.8142,283,0.13140000000000002
CO_BENT,1188,0.6164999999999999,590,0.3062
CO_BOULDER,41396,0.22,132334,0.7034
CO_BROOMFIELD,14367,0.3812,19731,0.5235
CO_CHAFFEE,5391,0.4792,4888,0.43450000000000005
CO_CHEYENNE,925,0.8393999999999999,132,0.1198
CO_CLEAR CREEK,2575,0.439,2729,0.46520000000000006
CO_CONEJOS,1914,0.47590000000000005,1771,0.4403
CO_COSTILLA,588,0.3182,1125,0.6088
CO_CROWLEY,1079,0.7066,339,0.222
CO_CUSTER,2061,0.6722,797,0.25989999999999996
CO_DELTA,11655,0.6942,4087,0.2434
CO_DENVER,62690,0.1889,244551,0.7369
CO_DOLORES,944,0.7522,242,0.1928
CO_DOUGLAS,102573,0.5471,68657,0.36619999999999997
CO_EAGLE,8990,0.3564,14099,0.5589999999999999
CO_EL PASO,179228,0.5619,108010,0.3386
CO_ELBERT,11705,0.7326,3134,0.1961
CO_FREMONT,15122,0.6881999999999999,5297,0.24109999999999998
CO_GARFIELD,13132,0.4961,11271,0.42579999999999996
CO_GILPIN,1566,0.4379,1634,0.4569
CO_GRAND,4494,0.5233,3358,0.391
CO_GUNNISON,3289,0.3494,5128,0.5448
CO_HINSDALE,339,0.5756,197,0.3345
CO_HUERFANO,1883,0.4978,1633,0.43170000000000003
CO_JACKSON,629,0.7304999999999999,171,0.1986
CO_JEFFERSON,138177,0.4201,160776,0.4889
CO_KIOWA,728,0.8515,91,0.10640000000000001
CO_KIT CARSON,2967,0.8015000000000001,536,0.1448
CO_LA PLATA,12587,0.40409999999999996,15525,0.4984
CO_LAKE,1270,0.397,1616,0.5052
CO_LARIMER,83430,0.4257,93113,0.47509999999999997
CO_LAS ANIMAS,3710,0.5462,2650,0.3901
CO_LINCOLN,1892,0.7767000000000001,409,0.1679
CO_LOGAN,7282,0.7490000000000001,1851,0.19039999999999999
CO_MESA,49779,0.6409999999999999,21729,0.2798
CO_MINERAL,344,0.5276,237,0.3635
CO_MOFFAT,5305,0.813,874,0.13390000000000002
CO_MONTEZUMA,7853,0.6107,3973,0.309
CO_MONTROSE,14382,0.6788,5466,0.258
CO_MORGAN,8145,0.6809999999999999,3151,0.2635
CO_OTERO,4928,0.5831000000000001,2943,0.3482
CO_OURAY,1351,0.4082,1697,0.5127
CO_PARK,6135,0.5889,3421,0.3284
CO_PHILLIPS,1791,0.768,436,0.187
CO_PITKIN,2550,0.24230000000000002,7333,0.6969
CO_PROWERS,3531,0.7039,1186,0.2364
CO_PUEBLO,36265,0.4611,35875,0.4562
CO_RIO BLANCO,2791,0.809,436,0.1264
CO_RIO GRANDE,3085,0.5575,2001,0.3616
CO_ROUTT,5230,0.3739,7600,0.5434
CO_SAGUACHE,1147,0.4046,1417,0.49979999999999997
CO_SAN JUAN,215,0.4249,265,0.5236999999999999
CO_SAN MIGUEL,1033,0.2386,2975,0.6872
CO_SEDGWICK,1015,0.7441,267,0.1957
CO_SUMMIT,5100,0.3153,9557,0.5909
CO_TELLER,9745,0.6747,3603,0.2494
CO_WASHINGTON,2299,0.8412000000000001,296,0.10830000000000001
CO_WELD,76651,0.5660000000000001,46519,0.34450000000000003
CO_YUMA,3850,0.8036,726,0.1515
CO_TOTAL,1202484,0.4325,1338870,0.4816
CT_TOLLAND,34194,0.4416,38506,0.49729999999999996
CT_NEW HAVEN,159048,0.41960000000000003,205609,0.5425
CT_FAIRFIELD,160077,0.38,243852,0.5789
CT_WINDHAM,25747,0.5065999999999999,21792,0.4288
CT_HARTFORD,148173,0.3642,240403,0.5909
CT_LITCHFIELD,53051,0.5444,39775,0.4082
CT_NEW LONDON,54058,0.4376,62278,0.5042
CT_MIDDLESEX,38867,0.4386,45357,0.5118
FL_ALACHUA,46834,0.3643,75820,0.5897
FL_BAKER,10294,0.8148000000000001,2112,0.1672
FL_BAY,62194,0.7112,21797,0.2492
FL_BRADFORD,8913,0.7367,2924,0.24170000000000003
FL_BREVARD,181848,0.5778,119679,0.38020000000000004
FL_BROWARD,260951,0.31370000000000003,553320,0.6651
FL_CALHOUN,4655,0.7655,1241,0.2041
FL_CHARLOTTE,60218,0.6248,33445,0.34700000000000003
FL_CITRUS,54456,0.6833,22789,0.2859
FL_CLAY,74963,0.7040000000000001,27822,0.2613
FL_COLLIER,105423,0.6173,61085,0.3577
FL_COLUMBIA,20368,0.7095,7601,0.2648
FL_DESOTO,6778,0.6265,3781,0.34950000000000003
FL_DIXIE,5822,0.8084,1270,0.17629999999999998
FL_DUVAL,211672,0.4892,205704,0.4754
FL_ESCAMBIA,88808,0.5825,57461,0.37689999999999996
FL_FLAGLER,33850,0.5887,22026,0.38299999999999995
FL_FRANKLIN,4125,0.6858,1744,0.2899
FL_GADSDEN,6728,0.3043,15020,0.6762
FL_GILCHRIST,6740,0.8005,1458,0.1732
FL_GLADES,2996,0.6883,1271,0.292
FL_GULF,5329,0.7306999999999999,1720,0.23579999999999998
FL_HAMILTON,3443,0.6306,1904,0.34869999999999995
FL_HARDEE,5242,0.6912999999999999,2149,0.2834
FL_HENDRY,6195,0.5574,4615,0.4152
FL_HERNANDO,58970,0.6286999999999999,31795,0.33899999999999997
FL_HIGHLANDS,29565,0.6470999999999999,14937,0.32689999999999997
FL_HILLSBOROUGH,266870,0.4465,307896,0.5152
FL_HOLMES,7483,0.8789,853,0.1002
FL_INDIAN RIVER,48620,0.6077,29043,0.363
FL_JACKSON,14257,0.6776000000000001,6397,0.304
FL_JEFFERSON,3930,0.5141,3541,0.4632
FL_LAFAYETTE,2809,0.8234999999999999,518,0.1527
FL_LAKE,102188,0.5948,62838,0.3686
FL_LEE,191551,0.5868,124908,0.38270000000000004
FL_LEON,53821,0.3538,92068,0.6052000000000001
FL_LEVY,13775,0.7101999999999999,5101,0.263
FL_LIBERTY,2543,0.7715000000000001,651,0.1975
FL_MADISON,4851,0.5704,3526,0.4146
FL_MANATEE,101944,0.5697,71224,0.39799999999999996
FL_MARION,107833,0.6172,62041,0.35509999999999997
FL_MARTIN,53204,0.6202000000000001,30185,0.3518
FL_MIAMI-DADE,333999,0.3407,624146,0.6368
FL_MONROE,21904,0.5157,18971,0.44659999999999994
FL_NASSAU,34266,0.7352,10869,0.2332
FL_OKALOOSA,71893,0.7128,23780,0.23579999999999998
FL_OKEECHOBEE,9356,0.6853,3959,0.29
FL_ORANGE,195216,0.3574,329894,0.6039
FL_OSCEOLA,50301,0.3588,85458,0.6095
FL_PALM BEACH,272402,0.4113,374673,0.5657
FL_PASCO,142101,0.5893,90142,0.3738
FL_PINELLAS,239201,0.4858,233701,0.4746
FL_POLK,157430,0.5537,117433,0.413
FL_PUTNAM,22138,0.6685,10094,0.3048
FL_SANTA ROSA,65339,0.7445999999999999,18464,0.2104
FL_SARASOTA,124438,0.5432,97870,0.42729999999999996
FL_SEMINOLE,109443,0.4866,105914,0.47090000000000004
FL_ST. JOHNS,88684,0.6496,43099,0.3157
FL_ST. LUCIE,70289,0.499,66881,0.47479999999999994
FL_SUMTER,52730,0.6878,22638,0.2953
FL_SUWANEE,14287,0.7643000000000001,3964,0.212
FL_TAYLOR,6930,0.746,2152,0.2316
FL_UNION,4568,0.8022,1014,0.17809999999999998
FL_VOLUSIA,143007,0.5482,109091,0.4182
FL_WAKULLA,10512,0.6848000000000001,4348,0.2832
FL_WALTON,25756,0.7656999999999999,6876,0.20440000000000003
FL_WASHINGTON,8637,0.7742,2264,0.2029
FL_TOTALS,4617886,0.4902,4504975,0.4782
LA_ACADIA PARISH,5638,0.20579999999999998,21162,0.7726000000000001
LA_ALLEN PARISH,2106,0.2278,6867,0.7428
LA_ASCENSION PARISH,16476,0.3013,36143,0.6609999999999999
LA_ASSUMPTION PARISH,3931,0.3605,6714,0.6157
LA_AVOYELLES PARISH,5035,0.3036,11165,0.6731999999999999
LA_BEAUREGARD PARISH,2393,0.15869999999999998,12238,0.8116
LA_BIENVILLE PARISH,3129,0.44670000000000004,3756,0.5362
LA_BOSSIER PARISH,12641,0.2536,35474,0.7116
LA_CADDO PARISH,53483,0.5055,49006,0.4632
LA_CALCASIEU PARISH,26296,0.3139,54191,0.6468
LA_CALDWELL PARISH,788,0.1679,3822,0.8146
LA_CAMERON PARISH,323,0.0875,3256,0.8819
LA_CATAHOULA PARISH,1322,0.2722,3479,0.7164
LA_CLAIBORNE PARISH,2717,0.42310000000000003,3585,0.5583
LA_CONCORDIA PARISH,3272,0.3688,5477,0.6173
LA_DE SOTO PARISH,5165,0.3826,8068,0.5976
LA_EAST BATON ROUGE PARISH,102828,0.5233,84660,0.43090000000000006
LA_EAST CARROLL PARISH,1838,0.6254,1059,0.3603
LA_EAST FELICIANA PARISH,4235,0.4217,5569,0.5546
LA_EVANGELINE PARISH,4208,0.2828,10360,0.6960999999999999
LA_FRANKLIN PARISH,2506,0.2735,6514,0.711
LA_GRANT PARISH,1181,0.13390000000000002,7408,0.8398
LA_IBERIA PARISH,10698,0.3296,20903,0.6441
LA_IBERVILLE PARISH,8324,0.5189,7320,0.45630000000000004
LA_JACKSON PARISH,2139,0.2866,5169,0.6925
LA_JEFFERSON PARISH,73670,0.4056,100398,0.5527000000000001
LA_JEFFERSON DAVIS PARISH,3080,0.2157,10775,0.7547
LA_LAFAYETTE PARISH,32726,0.3099,68195,0.6457999999999999
LA_LAFOURCHE PARISH,8423,0.2023,31959,0.7674
LA_LASALLE PARISH,605,0.09210000000000002,5836,0.8884000000000001
LA_LINCOLN PARISH,7107,0.3807,10761,0.5764
LA_LIVINGSTON PARISH,6950,0.1204,48824,0.8456999999999999
LA_MADISON PARISH,2744,0.5799,1927,0.4072
LA_MOREHOUSE PARISH,5155,0.4349,6502,0.5486
LA_NATCHITOCHES PARISH,7144,0.42979999999999996,8968,0.5396
LA_ORLEANS PARISH,133996,0.8081,24292,0.1465
LA_OUACHITA PARISH,24428,0.3591,41734,0.6136
LA_PLAQUEMINES PARISH,3347,0.3166,6900,0.6526000000000001
LA_POINTE COUPEE PARISH,4764,0.40509999999999996,6789,0.5771999999999999
LA_RAPIDES PARISH,18322,0.3223,36816,0.6476999999999999
LA_RED RIVER PARISH,1938,0.43829999999999997,2391,0.5407
LA_RICHLAND PARISH,3157,0.32899999999999996,6287,0.6551
LA_SABINE PARISH,1703,0.174,7879,0.805
LA_ST. BERNARD PARISH,4960,0.3136,10237,0.6473
LA_ST. CHARLES PARISH,8559,0.3268,16621,0.6346
LA_ST. HELENA PARISH,3353,0.5622,2497,0.41869999999999996
LA_ST. JAMES PARISH,6418,0.5311,5456,0.4515
LA_ST. JOHN THE BAPTIST PARISH,12661,0.6103999999999999,7569,0.3649
LA_ST. LANDRY PARISH,17209,0.4305,21971,0.5496
LA_ST. MARTIN PARISH,8266,0.321,16873,0.6553
LA_ST. MARY PARISH,8050,0.3519,14359,0.6277
LA_ST. TAMMANY PARISH,27717,0.2228,90915,0.7309
LA_TANGIPAHOA PARISH,16878,0.322,33959,0.6479
LA_TENSAS PARISH,1332,0.5228,1182,0.4639
LA_TERREBONNE PARISH,10665,0.243,31902,0.7268000000000001
LA_UNION PARISH,2691,0.247,7972,0.7318000000000001
LA_VERMILION PARISH,4857,0.1895,20063,0.7827
LA_VERNON PARISH,2665,0.1602,13471,0.8099
LA_WASHINGTON PARISH,5692,0.3056,12556,0.674
LA_WEBSTER PARISH,6260,0.345,11542,0.6361
LA_WEST BATON ROUGE PARISH,5383,0.4235,6927,0.5449
LA_WEST CARROLL PARISH,715,0.1502,3970,0.8342
LA_WEST FELICIANA PARISH,2248,0.38770000000000004,3390,0.5846
LA_WINN PARISH,1644,0.258,4608,0.7232
NY_ALBANY,47808,0.3419,83071,0.5941
NY_ALLEGANY,12525,0.6701,4882,0.2612
NY_BRONX,37797,0.0946,353646,0.8852
NY_BROOME,40943,0.4757,39212,0.4556
NY_CATTARAUGUS,19692,0.6319,9497,0.3048
NY_CAYUGA,17384,0.5241,13522,0.40759999999999996
NY_CHAUTAUQUA,31594,0.5825,19091,0.35200000000000004
NY_CHEMUNG,20097,0.5564,13757,0.3809
NY_CHENANGO,11921,0.5913,6775,0.3361
NY_CLINTON,14449,0.4501,15059,0.46909999999999996
NY_COLUMBIA,13756,0.445,15284,0.4946
NY_CORTLAND,9900,0.489,8771,0.43329999999999996
NY_DELAWARE,11942,0.6034,6627,0.3348
NY_DUTCHESS,61821,0.4719,62285,0.4754
NY_ERIE,188303,0.444,215456,0.5085999999999999
NY_ESSEX,7958,0.4622,7762,0.4508
NY_FRANKLIN,8221,0.485,7297,0.4305
NY_FULTON,13462,0.6346,6496,0.3062
NY_GENESSEE,16915,0.6399,7650,0.2894
NY_GREENE,13073,0.5929,7405,0.3358
NY_HAMILTON,2064,0.64,949,0.2943
NY_HERKIMER,16699,0.636,8083,0.3079
NY_JEFFERSON,21763,0.5692,13809,0.36119999999999997
NY_KINGS,141044,0.1751,640553,0.7951
NY_LEWIS,7400,0.6534,3146,0.2778
NY_LIVINGSTON,17290,0.5757,10697,0.35619999999999996
NY_MADISON,15936,0.5301,11667,0.3881
NY_MONROE,136582,0.39270000000000005,188592,0.5423
NY_MONTGOMERY,11301,0.5931000000000001,6595,0.3461
NY_NASSAU,292025,0.45130000000000003,332154,0.5133
NY_NEW YORK,64930,0.0971,579013,0.8656
NY_NIAGARA,51961,0.5623,35559,0.3848
NY_ONEIDA,51437,0.5652,33743,0.37079999999999996
NY_ONONDAGA,83649,0.40130000000000005,112337,0.5389
NY_ONTARIO,26029,0.4955,22233,0.4233
NY_ORANGE,76645,0.5042,68278,0.44909999999999994
NY_ORLEANS,10936,0.6676000000000001,4470,0.2729
NY_OSWEGO,27688,0.5747,17095,0.35479999999999995
NY_OTSEGO,13308,0.5185,10451,0.4072
NY_PUTNAM,27024,0.5565,19366,0.39880000000000004
NY_QUEENS,149341,0.21760000000000002,517220,0.7535
NY_RENSSELAER,33726,0.47130000000000005,32717,0.4572
NY_RICHMOND,101437,0.5605,74143,0.4097
NY_ROCKLAND,60911,0.4509,69342,0.5133
NY_ST. LAWRENCE,19942,0.5093,16488,0.4211
NY_SARATOGA,54575,0.4783,50913,0.4462
NY_SCHENECTADY,28953,0.4303,33747,0.5015999999999999
NY_SCHOHARIE,8831,0.6285000000000001,4240,0.3018
NY_SCHUYLER,5050,0.5757,3091,0.35240000000000005
NY_SENECA,7236,0.5176,5697,0.4075
NY_STEUBEN,26831,0.6388,12526,0.2982
NY_SUFFOLK,350570,0.5146000000000001,303951,0.4462
NY_SULLIVAN,15931,0.5318,12568,0.41960000000000003
NY_TIOGA,13260,0.5946,7526,0.3375
NY_TOMPKINS,10371,0.243,28890,0.6769
NY_ULSTER,35239,0.4132,44597,0.5229
NY_WARREN,15751,0.5015,13091,0.4168
NY_WASHINGTON,13610,0.5549000000000001,9098,0.3709
NY_WAYNE,23380,0.5891,13473,0.3395
NY_WESTCHESTER,131238,0.312,272926,0.6487999999999999
NY_WYOMING,12442,0.7193,3904,0.2257
NY_YATES,5660,0.5623,3659,0.3635
MD_ALLEGANY,21270,0.674,7875,0.257
MD_ANNE ARUNDEL,118636,0.4578,122385,0.49219999999999997
MD_BALTIMORE (CITY),24225,0.107,190981,0.8443999999999999
MD_BALTIMORE (COUNTY),146469,0.3862,210771,0.5558
MD_CALVERT,26176,0.5522,18225,0.38439999999999996
MD_CAROLINE,9368,0.6695,4009,0.2865
MD_CARROLL,57385,0.6456999999999999,25749,0.2897
MD_CECIL,28866,0.6256,13650,0.2958
MD_CHARLES,25529,0.32899999999999996,49035,0.632
MD_DORCHESTER,8413,0.5329999999999999,6245,0.39549999999999996
